"gene.symbol"	"egID"	"gene.set"
"ABCD3"	5825	"All_genes"
"ABCD4"	5826	"All_genes"
"ABCE1"	6059	"All_genes"
"ABCF1"	23	"All_genes"
"ABCF2"	10061	"All_genes"
"ABCF3"	55324	"All_genes"
"ABCG1"	9619	"All_genes"
"ABCG2"	9429	"All_genes"
"ABCG4"	64137	"All_genes"
"ABCG5"	64240	"All_genes"
"ABCG8"	64241	"All_genes"
"ABHD1"	84696	"All_genes"
"ABHD10"	55347	"All_genes"
"ABHD11"	83451	"All_genes"
"ABHD12"	26090	"All_genes"
"ABHD12B"	145447	"All_genes"
"ABHD13"	84945	"All_genes"
"ABHD14A"	25864	"All_genes"
"ABHD14A-ACY1"	100526760	"All_genes"
"ABHD14B"	84836	"All_genes"
"ABHD15"	116236	"All_genes"
"ABHD16A"	7920	"All_genes"
"ABHD16B"	140701	"All_genes"
"ABHD17A"	81926	"All_genes"
"ABHD17B"	51104	"All_genes"
"ABHD17C"	58489	"All_genes"
"ABHD2"	11057	"All_genes"
"ABHD3"	171586	"All_genes"
"ABHD4"	63874	"All_genes"
"ABHD5"	51099	"All_genes"
"ABHD6"	57406	"All_genes"
"ABHD8"	79575	"All_genes"
"ABI1"	10006	"All_genes"
"ABI2"	10152	"All_genes"
"ABI3"	51225	"All_genes"
"ABI3BP"	25890	"All_genes"
"ABL1"	25	"All_genes"
"ABL2"	27	"All_genes"
"ABLIM1"	3983	"All_genes"
"ABLIM2"	84448	"All_genes"
"ABLIM3"	22885	"All_genes"
"ABO"	28	"All_genes"
"ABR"	29	"All_genes"
"ABRA"	137735	"All_genes"
"ABRACL"	58527	"All_genes"
"ABT1"	29777	"All_genes"
"ABTB1"	80325	"All_genes"
"ABTB2"	25841	"All_genes"
"ACAA1"	30	"All_genes"
"ACAA2"	10449	"All_genes"
"ACACA"	31	"All_genes"
"ACACB"	32	"All_genes"
"ACAD10"	80724	"All_genes"
"ACAD11"	84129	"All_genes"
"ACAD8"	27034	"All_genes"
"ACAD9"	28976	"All_genes"
"ACADL"	33	"All_genes"
"ACADM"	34	"All_genes"
"ACADS"	35	"All_genes"
"ACADSB"	36	"All_genes"
"ACADVL"	37	"All_genes"
"ACAN"	176	"All_genes"
"ACAP1"	9744	"All_genes"
"ACAP2"	23527	"All_genes"
"ACAP3"	116983	"All_genes"
"ACAT1"	38	"All_genes"
"ACAT2"	39	"All_genes"
"ACBD3"	64746	"All_genes"
"ACBD4"	79777	"All_genes"
"ACBD5"	91452	"All_genes"
"ACBD6"	84320	"All_genes"
"ACBD7"	414149	"All_genes"
"ACCS"	84680	"All_genes"
"ACCSL"	390110	"All_genes"
"ACD"	65057	"All_genes"
"ACE"	1636	"All_genes"
"ACE2"	59272	"All_genes"
"ACER1"	125981	"All_genes"
"ACER2"	340485	"All_genes"
"ACER3"	55331	"All_genes"
"ACHE"	43	"All_genes"
"ACIN1"	22985	"All_genes"
"ACKR1"	2532	"All_genes"
"ACKR2"	1238	"All_genes"
"ACKR3"	57007	"All_genes"
"ACKR4"	51554	"All_genes"
"ACLY"	47	"All_genes"
"ACMSD"	130013	"All_genes"
"ACN9"	57001	"All_genes"
"ACO1"	48	"All_genes"
"ACO2"	50	"All_genes"
"ACOT1"	641371	"All_genes"
"ACOT11"	26027	"All_genes"
"ACOT12"	134526	"All_genes"
"ACOT13"	55856	"All_genes"
"ACOT2"	10965	"All_genes"
"ACOT4"	122970	"All_genes"
"ACOT6"	641372	"All_genes"
"ACOT7"	11332	"All_genes"
"ACOT8"	10005	"All_genes"
"ACOT9"	23597	"All_genes"
"ACOX1"	51	"All_genes"
"ACOX2"	8309	"All_genes"
"ACOX3"	8310	"All_genes"
"ACOXL"	55289	"All_genes"
"ACP1"	52	"All_genes"
"ACP2"	53	"All_genes"
"ACP5"	54	"All_genes"
"ACP6"	51205	"All_genes"
"ACPP"	55	"All_genes"
"ACPT"	93650	"All_genes"
"ACR"	49	"All_genes"
"ACRBP"	84519	"All_genes"
"ACRC"	93953	"All_genes"
"ACRV1"	56	"All_genes"
"ACSBG1"	23205	"All_genes"
"ACSBG2"	81616	"All_genes"
"ACSF2"	80221	"All_genes"
"ACSF3"	197322	"All_genes"
"ACSL1"	2180	"All_genes"
"ACSL3"	2181	"All_genes"
"ACSL4"	2182	"All_genes"
"ACSL5"	51703	"All_genes"
"ACSL6"	23305	"All_genes"
"ACSM1"	116285	"All_genes"
"ACSM2A"	123876	"All_genes"
"ACSM2B"	348158	"All_genes"
"ACSM3"	6296	"All_genes"
"ACSM4"	341392	"All_genes"
"ACSM5"	54988	"All_genes"
"ACSM6"	142827	"All_genes"
"ACSS1"	84532	"All_genes"
"ACSS2"	55902	"All_genes"
"ACSS3"	79611	"All_genes"
"ACTA1"	58	"All_genes"
"ACTA2"	59	"All_genes"
"ACTB"	60	"All_genes"
"ACTBL2"	345651	"All_genes"
"ACTC1"	70	"All_genes"
"ACTG1"	71	"All_genes"
"ACTG1P4"	648740	"All_genes"
"ACTG2"	72	"All_genes"
"ACTL10"	170487	"All_genes"
"ACTL6A"	86	"All_genes"
"ACTL6B"	51412	"All_genes"
"ACTL7A"	10881	"All_genes"
"ACTL7B"	10880	"All_genes"
"ACTL8"	81569	"All_genes"
"ACTL9"	284382	"All_genes"
"ACTN1"	87	"All_genes"
"ACTN1-AS1"	161159	"All_genes"
"ACTN2"	88	"All_genes"
"ACTN3"	89	"All_genes"
"ACTN4"	81	"All_genes"
"ACTR10"	55860	"All_genes"
"ACTR1A"	10121	"All_genes"
"ACTR1B"	10120	"All_genes"
"ACTR2"	10097	"All_genes"
"ACTR3"	10096	"All_genes"
"ACTR3B"	57180	"All_genes"
"ACTR3BP2"	440888	"All_genes"
"ACTR3BP5"	399746	"All_genes"
"ACTR3C"	653857	"All_genes"
"ACTR5"	79913	"All_genes"
"ACTR6"	64431	"All_genes"
"ACTR8"	93973	"All_genes"
"ACTRT1"	139741	"All_genes"
"ACTRT2"	140625	"All_genes"
"ACTRT3"	84517	"All_genes"
"ACVR1"	90	"All_genes"
"ACVR1B"	91	"All_genes"
"ACVR1C"	130399	"All_genes"
"ACVR2A"	92	"All_genes"
"ACVR2B"	93	"All_genes"
"ACVR2B-AS1"	100128640	"All_genes"
"ACVRL1"	94	"All_genes"
"ACY1"	95	"All_genes"
"ACY3"	91703	"All_genes"
"ACYP1"	97	"All_genes"
"ACYP2"	98	"All_genes"
"ADA"	100	"All_genes"
"ADAD1"	132612	"All_genes"
"ADAD2"	161931	"All_genes"
"ADAL"	161823	"All_genes"
"ADAM10"	102	"All_genes"
"ADAM11"	4185	"All_genes"
"ADAM12"	8038	"All_genes"
"ADAM15"	8751	"All_genes"
"ADAM17"	6868	"All_genes"
"ADAM18"	8749	"All_genes"
"ADAM19"	8728	"All_genes"
"ADAM1A"	8759	"All_genes"
"ADAM2"	2515	"All_genes"
"ADAM20"	8748	"All_genes"
"ADAM20P1"	317760	"All_genes"
"ADAM21"	8747	"All_genes"
"ADAM21P1"	145241	"All_genes"
"ADAM22"	53616	"All_genes"
"ADAM23"	8745	"All_genes"
"ADAM28"	10863	"All_genes"
"ADAM29"	11086	"All_genes"
"ADAM30"	11085	"All_genes"
"ADAM32"	203102	"All_genes"
"ADAM33"	80332	"All_genes"
"ADAM3A"	1587	"All_genes"
"ADAM5"	255926	"All_genes"
"ADAM6"	8755	"All_genes"
"ADAM7"	8756	"All_genes"
"ADAM8"	101	"All_genes"
"ADAM9"	8754	"All_genes"
"ADAMDEC1"	27299	"All_genes"
"ADAMTS1"	9510	"All_genes"
"ADAMTS10"	81794	"All_genes"
"ADAMTS12"	81792	"All_genes"
"ADAMTS13"	11093	"All_genes"
"ADAMTS14"	140766	"All_genes"
"ADAMTS15"	170689	"All_genes"
"ADAMTS16"	170690	"All_genes"
"ADAMTS17"	170691	"All_genes"
"ADAMTS18"	170692	"All_genes"
"ADAMTS19"	171019	"All_genes"
"ADAMTS2"	9509	"All_genes"
"ADAMTS20"	80070	"All_genes"
"ADAMTS3"	9508	"All_genes"
"ADAMTS4"	9507	"All_genes"
"ADAMTS5"	11096	"All_genes"
"ADAMTS6"	11174	"All_genes"
"ADAMTS7"	11173	"All_genes"
"ADAMTS7P1"	390660	"All_genes"
"ADAMTS8"	11095	"All_genes"
"ADAMTS9"	56999	"All_genes"
"ADAMTS9-AS2"	100507098	"All_genes"
"ADAMTSL1"	92949	"All_genes"
"ADAMTSL2"	9719	"All_genes"
"ADAMTSL3"	57188	"All_genes"
"ADAMTSL4"	54507	"All_genes"
"ADAMTSL4-AS1"	574406	"All_genes"
"ADAMTSL5"	339366	"All_genes"
"ADAP1"	11033	"All_genes"
"ADAP2"	55803	"All_genes"
"ADAR"	103	"All_genes"
"ADARB1"	104	"All_genes"
"ADARB2"	105	"All_genes"
"ADARB2-AS1"	642394	"All_genes"
"ADAT1"	23536	"All_genes"
"ADAT2"	134637	"All_genes"
"ADAT3"	113179	"All_genes"
"ADC"	113451	"All_genes"
"ADCK1"	57143	"All_genes"
"ADCK2"	90956	"All_genes"
"ADCK3"	56997	"All_genes"
"ADCK4"	79934	"All_genes"
"ADCK5"	203054	"All_genes"
"ADCY1"	107	"All_genes"
"ADCY10"	55811	"All_genes"
"ADCY10P1"	221442	"All_genes"
"ADCY2"	108	"All_genes"
"ADCY3"	109	"All_genes"
"ADCY4"	196883	"All_genes"
"ADCY5"	111	"All_genes"
"ADCY6"	112	"All_genes"
"ADCY7"	113	"All_genes"
"ADCY8"	114	"All_genes"
"ADCY9"	115	"All_genes"
"ADCYAP1"	116	"All_genes"
"ADCYAP1R1"	117	"All_genes"
"ADD1"	118	"All_genes"
"ADD2"	119	"All_genes"
"ADD3"	120	"All_genes"
"ADD3-AS1"	100505933	"All_genes"
"ADGB"	79747	"All_genes"
"ADH1A"	124	"All_genes"
"ADH1B"	125	"All_genes"
"ADH1C"	126	"All_genes"
"ADH4"	127	"All_genes"
"ADH5"	128	"All_genes"
"ADH6"	130	"All_genes"
"ADH7"	131	"All_genes"
"ADHFE1"	137872	"All_genes"
"ADI1"	55256	"All_genes"
"ADIG"	149685	"All_genes"
"ADIPOQ"	9370	"All_genes"
"ADIPOQ-AS1"	100874095	"All_genes"
"ADIPOR1"	51094	"All_genes"
"ADIPOR2"	79602	"All_genes"
"ADIRF"	10974	"All_genes"
"ADK"	132	"All_genes"
"ADM"	133	"All_genes"
"ADM2"	79924	"All_genes"
"ADM5"	199800	"All_genes"
"ADNP"	23394	"All_genes"
"ADNP2"	22850	"All_genes"
"ADO"	84890	"All_genes"
"ADORA1"	134	"All_genes"
"ADORA2A"	135	"All_genes"
"ADORA2A-AS1"	646023	"All_genes"
"ADORA2B"	136	"All_genes"
"ADORA3"	140	"All_genes"
"ADPGK"	83440	"All_genes"
"ADPGK-AS1"	100287559	"All_genes"
"ADPRH"	141	"All_genes"
"ADPRHL1"	113622	"All_genes"
"ADPRHL2"	54936	"All_genes"
"ADPRM"	56985	"All_genes"
"ADRA1A"	148	"All_genes"
"ADRA1B"	147	"All_genes"
"ADRA1D"	146	"All_genes"
"ADRA2A"	150	"All_genes"
"ADRA2B"	151	"All_genes"
"ADRA2C"	152	"All_genes"
"ADRB1"	153	"All_genes"
"ADRB2"	154	"All_genes"
"ADRB3"	155	"All_genes"
"ADRBK1"	156	"All_genes"
"ADRBK2"	157	"All_genes"
"ADRM1"	11047	"All_genes"
"ADSL"	158	"All_genes"
"ADSS"	159	"All_genes"
"ADSSL1"	122622	"All_genes"
"ADTRP"	84830	"All_genes"
"AEBP1"	165	"All_genes"
"AEBP2"	121536	"All_genes"
"AEN"	64782	"All_genes"
"AES"	166	"All_genes"
"AFAP1"	60312	"All_genes"
"AFAP1-AS1"	84740	"All_genes"
"AFAP1L1"	134265	"All_genes"
"AFAP1L2"	84632	"All_genes"
"AFF1"	4299	"All_genes"
"AFF2"	2334	"All_genes"
"AFF3"	3899	"All_genes"
"AFF4"	27125	"All_genes"
"AFG3L1P"	172	"All_genes"
"AFG3L2"	10939	"All_genes"
"AFM"	173	"All_genes"
"AFMID"	125061	"All_genes"
"AFP"	174	"All_genes"
"AFTPH"	54812	"All_genes"
"AGA"	175	"All_genes"
"AGAP1"	116987	"All_genes"
"AGAP11"	119385	"All_genes"
"AGAP2"	116986	"All_genes"
"AGAP2-AS1"	100130776	"All_genes"
"AGAP3"	116988	"All_genes"
"AGAP4"	119016	"All_genes"
"AGAP5"	729092	"All_genes"
"AGAP6"	414189	"All_genes"
"AGAP7"	653268	"All_genes"
"AGAP9"	642517	"All_genes"
"AGBL1"	123624	"All_genes"
"AGBL1-AS1"	727915	"All_genes"
"AGBL2"	79841	"All_genes"
"AGBL3"	340351	"All_genes"
"AGBL4"	84871	"All_genes"
"AGBL4-IT1"	100874313	"All_genes"
"AGBL5"	60509	"All_genes"
"AGBL5-AS1"	100874031	"All_genes"
"AGER"	177	"All_genes"
"AGFG1"	3267	"All_genes"
"AGFG2"	3268	"All_genes"
"AGGF1"	55109	"All_genes"
"AGK"	55750	"All_genes"
"AGL"	178	"All_genes"
"AGMAT"	79814	"All_genes"
"AGMO"	392636	"All_genes"
"AGO1"	26523	"All_genes"
"AGO2"	27161	"All_genes"
"AGO3"	192669	"All_genes"
"AGO4"	192670	"All_genes"
"AGPAT1"	10554	"All_genes"
"AGPAT2"	10555	"All_genes"
"AGPAT3"	56894	"All_genes"
"AGPAT4"	56895	"All_genes"
"AGPAT4-IT1"	79992	"All_genes"
"AGPAT5"	55326	"All_genes"
"AGPAT6"	137964	"All_genes"
"AGPAT9"	84803	"All_genes"
"AGPS"	8540	"All_genes"
"AGR2"	10551	"All_genes"
"AGR3"	155465	"All_genes"
"AGRN"	375790	"All_genes"
"AGRP"	181	"All_genes"
"AGT"	183	"All_genes"
"AGTPBP1"	23287	"All_genes"
"AGTR1"	185	"All_genes"
"AGTR2"	186	"All_genes"
"AGTRAP"	57085	"All_genes"
"AGXT"	189	"All_genes"
"AGXT2"	64902	"All_genes"
"AHCTF1"	25909	"All_genes"
"AHCTF1P1"	285116	"All_genes"
"AHCY"	191	"All_genes"
"AHCYL1"	10768	"All_genes"
"AHCYL2"	23382	"All_genes"
"AHDC1"	27245	"All_genes"
"AHI1"	54806	"All_genes"
"AHNAK"	79026	"All_genes"
"AHNAK2"	113146	"All_genes"
"AHR"	196	"All_genes"
"AHRR"	57491	"All_genes"
"AHSA1"	10598	"All_genes"
"AHSA2"	130872	"All_genes"
"AHSG"	197	"All_genes"
"AHSP"	51327	"All_genes"
"AICDA"	57379	"All_genes"
"AIDA"	64853	"All_genes"
"AIF1"	199	"All_genes"
"AIF1L"	83543	"All_genes"
"AIFM1"	9131	"All_genes"
"AIFM2"	84883	"All_genes"
"AIFM3"	150209	"All_genes"
"AIG1"	51390	"All_genes"
"AIM1"	202	"All_genes"
"AIM1L"	55057	"All_genes"
"AIM2"	9447	"All_genes"
"AIMP1"	9255	"All_genes"
"AIMP2"	7965	"All_genes"
"AIP"	9049	"All_genes"
"AIPL1"	23746	"All_genes"
"AIRE"	326	"All_genes"
"AIRN"	100271873	"All_genes"
"AJAP1"	55966	"All_genes"
"AJUBA"	84962	"All_genes"
"AK1"	203	"All_genes"
"AK2"	204	"All_genes"
"AK3"	50808	"All_genes"
"AK4"	205	"All_genes"
"AK5"	26289	"All_genes"
"AK6"	102157402	"All_genes"
"AK7"	122481	"All_genes"
"AK8"	158067	"All_genes"
"AK9"	221264	"All_genes"
"AKAP1"	8165	"All_genes"
"AKAP10"	11216	"All_genes"
"AKAP11"	11215	"All_genes"
"AKAP12"	9590	"All_genes"
"AKAP13"	11214	"All_genes"
"AKAP14"	158798	"All_genes"
"AKAP17A"	8227	"All_genes"
"AKAP2"	11217	"All_genes"
"AKAP3"	10566	"All_genes"
"AKAP4"	8852	"All_genes"
"AKAP5"	9495	"All_genes"
"AKAP6"	9472	"All_genes"
"AKAP7"	9465	"All_genes"
"AKAP8"	10270	"All_genes"
"AKAP8L"	26993	"All_genes"
"AKAP9"	10142	"All_genes"
"AKIP1"	56672	"All_genes"
"AKIRIN1"	79647	"All_genes"
"AKIRIN2"	55122	"All_genes"
"AKNA"	80709	"All_genes"
"AKNAD1"	254268	"All_genes"
"AKR1A1"	10327	"All_genes"
"AKR1B1"	231	"All_genes"
"AKR1B10"	57016	"All_genes"
"AKR1B15"	441282	"All_genes"
"AKR1C1"	1645	"All_genes"
"AKR1C2"	1646	"All_genes"
"AKR1C3"	8644	"All_genes"
"AKR1C4"	1109	"All_genes"
"AKR1C6P"	389932	"All_genes"
"AKR1CL1"	340811	"All_genes"
"AKR1D1"	6718	"All_genes"
"AKR1E2"	83592	"All_genes"
"AKR7A2"	8574	"All_genes"
"AKR7A2P1"	246182	"All_genes"
"AKR7A3"	22977	"All_genes"
"AKR7L"	246181	"All_genes"
"AKT1"	207	"All_genes"
"AKT1S1"	84335	"All_genes"
"AKT2"	208	"All_genes"
"AKT3"	10000	"All_genes"
"AKTIP"	64400	"All_genes"
"ALAD"	210	"All_genes"
"ALAS1"	211	"All_genes"
"ALAS2"	212	"All_genes"
"ALB"	213	"All_genes"
"ALCAM"	214	"All_genes"
"ALDH16A1"	126133	"All_genes"
"ALDH18A1"	5832	"All_genes"
"ALDH1A1"	216	"All_genes"
"ALDH1A2"	8854	"All_genes"
"ALDH1A3"	220	"All_genes"
"ALDH1B1"	219	"All_genes"
"ALDH1L1"	10840	"All_genes"
"ALDH1L1-AS1"	100874204	"All_genes"
"ALDH1L1-AS2"	100862662	"All_genes"
"ALDH1L2"	160428	"All_genes"
"ALDH2"	217	"All_genes"
"ALDH3A1"	218	"All_genes"
"ALDH3A2"	224	"All_genes"
"ALDH3B1"	221	"All_genes"
"ALDH3B2"	222	"All_genes"
"ALDH4A1"	8659	"All_genes"
"ALDH5A1"	7915	"All_genes"
"ALDH6A1"	4329	"All_genes"
"ALDH7A1"	501	"All_genes"
"ALDH8A1"	64577	"All_genes"
"ALDH9A1"	223	"All_genes"
"ALDOA"	226	"All_genes"
"ALDOB"	229	"All_genes"
"ALDOC"	230	"All_genes"
"ALG1"	56052	"All_genes"
"ALG10"	84920	"All_genes"
"ALG10B"	144245	"All_genes"
"ALG11"	440138	"All_genes"
"ALG12"	79087	"All_genes"
"ALG13"	79868	"All_genes"
"ALG14"	199857	"All_genes"
"ALG1L"	200810	"All_genes"
"ALG1L2"	644974	"All_genes"
"ALG1L9P"	285407	"All_genes"
"ALG2"	85365	"All_genes"
"ALG3"	10195	"All_genes"
"ALG5"	29880	"All_genes"
"ALG6"	29929	"All_genes"
"ALG8"	79053	"All_genes"
"ALG9"	79796	"All_genes"
"ALK"	238	"All_genes"
"ALKBH1"	8846	"All_genes"
"ALKBH2"	121642	"All_genes"
"ALKBH3"	221120	"All_genes"
"ALKBH3-AS1"	100507300	"All_genes"
"ALKBH4"	54784	"All_genes"
"ALKBH5"	54890	"All_genes"
"ALKBH6"	84964	"All_genes"
"ALKBH7"	84266	"All_genes"
"ALKBH8"	91801	"All_genes"
"ALLC"	55821	"All_genes"
"ALMS1"	7840	"All_genes"
"ALMS1-IT1"	100874291	"All_genes"
"ALMS1P"	200420	"All_genes"
"ALOX12"	239	"All_genes"
"ALOX12B"	242	"All_genes"
"ALOX12P2"	245	"All_genes"
"ALOX15"	246	"All_genes"
"ALOX15B"	247	"All_genes"
"ALOX15P1"	100652883	"All_genes"
"ALOX5"	240	"All_genes"
"ALOX5AP"	241	"All_genes"
"ALOXE3"	59344	"All_genes"
"ALPI"	248	"All_genes"
"ALPK1"	80216	"All_genes"
"ALPK2"	115701	"All_genes"
"ALPK3"	57538	"All_genes"
"ALPL"	249	"All_genes"
"ALPP"	250	"All_genes"
"ALPPL2"	251	"All_genes"
"ALS2"	57679	"All_genes"
"ALS2CL"	259173	"All_genes"
"ALS2CR11"	151254	"All_genes"
"ALS2CR12"	130540	"All_genes"
"ALX1"	8092	"All_genes"
"ALX3"	257	"All_genes"
"ALX4"	60529	"All_genes"
"ALYREF"	10189	"All_genes"
"AMACR"	23600	"All_genes"
"AMBN"	258	"All_genes"
"AMBP"	259	"All_genes"
"AMBRA1"	55626	"All_genes"
"AMD1"	262	"All_genes"
"AMDHD1"	144193	"All_genes"
"AMDHD2"	51005	"All_genes"
"AMELX"	265	"All_genes"
"AMELY"	266	"All_genes"
"AMER1"	139285	"All_genes"
"AMER2"	219287	"All_genes"
"AMER3"	205147	"All_genes"
"AMFR"	267	"All_genes"
"AMH"	268	"All_genes"
"AMHR2"	269	"All_genes"
"AMICA1"	120425	"All_genes"
"AMIGO1"	57463	"All_genes"
"AMIGO2"	347902	"All_genes"
"AMIGO3"	386724	"All_genes"
"AMMECR1"	9949	"All_genes"
"AMMECR1L"	83607	"All_genes"
"AMN"	81693	"All_genes"
"AMN1"	196394	"All_genes"
"AMOT"	154796	"All_genes"
"AMOTL1"	154810	"All_genes"
"AMOTL2"	51421	"All_genes"
"AMPD1"	270	"All_genes"
"AMPD2"	271	"All_genes"
"AMPD3"	272	"All_genes"
"AMPH"	273	"All_genes"
"AMT"	275	"All_genes"
"AMTN"	401138	"All_genes"
"AMY1A"	276	"All_genes"
"AMY1B"	277	"All_genes"
"AMY1C"	278	"All_genes"
"AMY2A"	279	"All_genes"
"AMY2B"	280	"All_genes"
"AMZ1"	155185	"All_genes"
"AMZ2"	51321	"All_genes"
"AMZ2P1"	201283	"All_genes"
"ANAPC1"	64682	"All_genes"
"ANAPC10"	10393	"All_genes"
"ANAPC11"	51529	"All_genes"
"ANAPC13"	25847	"All_genes"
"ANAPC15"	25906	"All_genes"
"ANAPC16"	119504	"All_genes"
"ANAPC1P1"	100286979	"All_genes"
"ANAPC2"	29882	"All_genes"
"ANAPC4"	29945	"All_genes"
"ANAPC5"	51433	"All_genes"
"ANAPC7"	51434	"All_genes"
"ANG"	283	"All_genes"
"ANGEL1"	23357	"All_genes"
"ANGEL2"	90806	"All_genes"
"ANGPT1"	284	"All_genes"
"ANGPT2"	285	"All_genes"
"ANGPT4"	51378	"All_genes"
"ANGPTL1"	9068	"All_genes"
"ANGPTL2"	23452	"All_genes"
"ANGPTL3"	27329	"All_genes"
"ANGPTL4"	51129	"All_genes"
"ANGPTL5"	253935	"All_genes"
"ANGPTL6"	83854	"All_genes"
"ANGPTL7"	10218	"All_genes"
"ANHX"	647589	"All_genes"
"ANK1"	286	"All_genes"
"ANK2"	287	"All_genes"
"ANK3"	288	"All_genes"
"ANKAR"	150709	"All_genes"
"ANKDD1A"	348094	"All_genes"
"ANKDD1B"	728780	"All_genes"
"ANKEF1"	63926	"All_genes"
"ANKFN1"	162282	"All_genes"
"ANKFY1"	51479	"All_genes"
"ANKH"	56172	"All_genes"
"ANKHD1"	54882	"All_genes"
"ANKHD1-EIF4EBP3"	404734	"All_genes"
"ANKIB1"	54467	"All_genes"
"ANKK1"	255239	"All_genes"
"ANKLE1"	126549	"All_genes"
"ANKLE2"	23141	"All_genes"
"ANKMY1"	51281	"All_genes"
"ANKMY2"	57037	"All_genes"
"ANKRA2"	57763	"All_genes"
"ANKRD1"	27063	"All_genes"
"ANKRD10"	55608	"All_genes"
"ANKRD11"	29123	"All_genes"
"ANKRD12"	23253	"All_genes"
"ANKRD13A"	88455	"All_genes"
"ANKRD13B"	124930	"All_genes"
"ANKRD13C"	81573	"All_genes"
"ANKRD13D"	338692	"All_genes"
"ANKRD16"	54522	"All_genes"
"ANKRD17"	26057	"All_genes"
"ANKRD18A"	253650	"All_genes"
"ANKRD18B"	441459	"All_genes"
"ANKRD18DP"	348840	"All_genes"
"ANKRD19P"	138649	"All_genes"
"ANKRD2"	26287	"All_genes"
"ANKRD20A1"	84210	"All_genes"
"ANKRD20A11P"	391267	"All_genes"
"ANKRD20A12P"	100874392	"All_genes"
"ANKRD20A19P"	400110	"All_genes"
"ANKRD20A2"	441430	"All_genes"
"ANKRD20A3"	441425	"All_genes"
"ANKRD20A4"	728747	"All_genes"
"ANKRD20A5P"	440482	"All_genes"
"ANKRD20A8P"	729171	"All_genes"
"ANKRD20A9P"	284232	"All_genes"
"ANKRD22"	118932	"All_genes"
"ANKRD23"	200539	"All_genes"
"ANKRD24"	170961	"All_genes"
"ANKRD26"	22852	"All_genes"
"ANKRD26P1"	124149	"All_genes"
"ANKRD26P3"	100101938	"All_genes"
"ANKRD27"	84079	"All_genes"
"ANKRD28"	23243	"All_genes"
"ANKRD29"	147463	"All_genes"
"ANKRD30A"	91074	"All_genes"
"ANKRD30B"	374860	"All_genes"
"ANKRD30BL"	554226	"All_genes"
"ANKRD30BP2"	149992	"All_genes"
"ANKRD30BP3"	338579	"All_genes"
"ANKRD31"	256006	"All_genes"
"ANKRD32"	84250	"All_genes"
"ANKRD33"	341405	"All_genes"
"ANKRD33B"	651746	"All_genes"
"ANKRD34A"	284615	"All_genes"
"ANKRD34B"	340120	"All_genes"
"ANKRD34C"	390616	"All_genes"
"ANKRD35"	148741	"All_genes"
